Longitude,Longitude_imp,Latitude,Latitude_imp,Year,Year_imp,Month,Month_imp,Day,Day_imp
-157.736,0,21.4,0,2021,1,6,1,16,1
-155.698,0,19.7703,0,2021,1,6,1,16,1
-157.871,0,21.3332,0,2021,1,6,1,16,1
-155.363,0,19.8444,0,2021,1,6,1,16,1
-155.363,0,19.8444,0,2021,1,6,1,16,1
-97.025975,0,30.38329,0,2014,0,6,0,25,0
-99.9479,0,31.950626,0,2014,0,6,0,28,0
-84.4836942,0,42.7368497,0,1973,0,7,1,15,1
-83.0455512,0,42.331355,0,1957,0,5,0,11,0
-83.0455512,0,42.331355,0,1963,0,10,0,8,0
-84.4272925,0,42.7221499,0,1958,0,5,0,20,0
-97.777157,0,30.214224,0,2014,0,5,0,16,0
-90.13079,0,29.791001,0,2014,0,4,0,11,0
-98.708945,0,29.784878,0,2014,0,4,0,4,0
-96.893169,0,29.914634,0,2014,0,3,0,29,0
-97.402478,0,30.167262,0,2014,0,3,0,21,0
-78.732697,0,35.863098,0,2007,0,2,0,21,0
-83.919998,0,35.9631,0,1975,0,11,0,7,0
-78.638901,0,35.779999,0,1950,0,7,0,7,0
-78.638901,0,35.779999,0,1950,0,7,0,7,0
-105.59056,0,41.31139,0,1978,0,5,0,15,0
-72.86,0,41.39083,0,1975,0,8,0,15,0
-89.21667,0,35.11528,0,1983,0,6,0,18,0
-97.416866,0,30.091134,0,2013,0,11,0,17,0
-97.402585,0,30.167342,0,2013,0,11,0,16,0
-124.181277,0,41.743077,0,2013,0,11,0,10,0
-97.771098,0,30.507813,0,2013,0,11,0,2,0
-97.702781,0,30.248218,0,2013,0,11,0,1,0
-97.14704,0,30.017182,0,2013,0,10,0,29,0
-97.700447,0,30.241151,0,2013,0,10,0,23,0
-96.893907,0,29.914149,0,2013,0,10,0,5,0
-97.759256,0,30.464949,0,2013,0,10,0,6,0
-97.758822,0,30.46519,0,2013,0,10,0,6,0
-97.610236,0,30.194956,0,2013,0,10,0,4,0
-97.649317,0,30.372931,0,2013,0,9,0,10,0
-95.961592,0,30.241723,0,2013,0,9,0,25,0
-95.9617,0,30.241945,0,2013,0,9,0,25,0
-97.649091,0,30.37282,0,2013,0,9,0,13,0
-103.69824,0,30.426528,0,2013,0,9,0,23,0
-97.700904,0,30.247575,0,2013,0,9,0,17,0
-122.125142,0,48.198712,0,2012,0,4,0,11,0
-97.700529,0,30.241301,0,2013,0,8,0,28,0
-103.659771,0,30.357578,0,2013,0,8,0,28,0
-97.750817,0,30.278222,0,2013,0,8,0,28,0
-155.073841,0,19.714251,0,2011,0,11,0,17,0
-97.358949,0,32.706843,0,2014,0,1,0,30,0
-96.759555,0,30.979219,0,2014,0,1,0,24,0
-97.759236,0,30.46498,0,2014,0,1,0,19,0
-101.886585,0,33.531443,0,2012,0,10,0,26,0
-73.467044,0,44.69909,0,2013,0,11,0,15,0
